iter	Passed	Remaining
0	29	20966
1	48	16986
2	77	18078
3	95	16753
4	117	16368
5	135	15731
6	155	15498
7	178	15487
8	198	15281
9	218	15151
10	247	15585
11	274	15807
12	306	16268
13	329	16197
14	351	16102
15	373	16043
16	394	15901
17	416	15832
18	445	16035
19	466	15916
20	486	15797
21	507	15714
22	526	15554
23	546	15447
24	565	15330
25	587	15309
26	606	15189
27	632	15239
28	651	15147
29	674	15127
30	693	15024
31	713	14956
32	741	15055
33	762	14999
34	784	14981
35	805	14933
36	824	14838
37	850	14876
38	870	14825
39	906	15031
40	937	15136
41	963	15168
42	995	15278
43	1019	15272
44	1039	15197
45	1068	15253
46	1101	15377
47	1124	15350
48	1144	15273
49	1162	15183
50	1191	15229
51	1237	15498
52	1295	15892
53	1404	16874
54	1488	17537
55	1555	17974
56	1620	18366
57	1680	18683
58	1717	18747
59	1746	18714
60	1815	19102
61	1888	19521
62	1950	19814
63	2008	20056
64	2090	20523
65	2143	20684
66	2175	20655
67	2226	20788
68	2255	20724
69	2297	20776
70	2374	21135
71	2463	21586
72	2531	21850
73	2581	21943
74	2631	22033
75	2733	22550
76	2782	22624
77	2863	22944
78	2916	23034
79	2948	22959
80	3039	23337
81	3105	23516
82	3169	23674
83	3229	23801
84	3320	24141
85	3390	24326
86	3450	24430
87	3509	24527
88	3551	24501
89	3624	24687
90	3697	24865
91	3728	24762
92	3758	24654
93	3800	24622
94	3826	24487
95	3860	24409
96	3886	24281
97	3942	24338
98	3976	24261
99	3996	24099
100	4020	23963
101	4040	23809
102	4067	23695
103	4090	23557
104	4109	23406
105	4130	23262
106	4156	23151
107	4178	23022
108	4199	22884
109	4218	22741
110	4239	22608
111	4257	22467
112	4278	22339
113	4297	22204
114	4317	22076
115	4336	21945
116	4359	21836
117	4385	21739
118	4410	21644
119	4430	21523
120	4452	21416
121	4471	21294
122	4493	21187
123	4516	21089
124	4541	21001
125	4570	20929
126	4593	20832
127	4616	20737
128	4641	20652
129	4663	20554
130	4683	20448
131	4701	20339
132	4722	20237
133	4741	20134
134	4775	20092
135	4799	20009
136	4820	19916
137	4837	19807
138	4858	19712
139	4880	19626
140	4903	19544
141	4927	19466
142	4948	19378
143	4968	19286
144	4987	19192
145	5007	19103
146	5034	19041
147	5054	18955
148	5079	18885
149	5104	18818
150	5133	18766
151	5164	18721
152	5193	18669
153	5225	18626
154	5259	18594
155	5281	18518
156	5303	18442
157	5327	18376
158	5347	18295
159	5374	18238
160	5401	18184
161	5445	18185
162	5485	18172
163	5506	18096
164	5526	18020
165	5547	17945
166	5583	17921
167	5621	17901
168	5657	17876
169	5674	17792
170	5693	17712
171	5711	17633
172	5732	17563
173	5754	17495
174	5774	17421
175	5793	17347
176	5815	17283
177	5835	17212
178	5857	17145
179	5878	17081
180	5898	17009
181	5919	16946
182	5939	16877
183	5959	16809
184	5980	16744
185	6003	16687
186	6025	16627
187	6046	16564
188	6066	16497
189	6086	16433
190	6106	16369
191	6127	16308
192	6149	16249
193	6185	16230
194	6222	16210
195	6275	16233
196	6301	16186
197	6351	16198
198	6402	16216
199	6458	16243
200	6524	16295
